Country,WHO Group,3TC_Actual,3TC_Computed,3TC_Diff,ABC_Actual,ABC_Computed,ABC_Diff,AZT_Actual,AZT_Computed,AZT_Diff,ddl_Actual,ddl_Computed,ddl_Diff,d4T_Actual,d4T_Computed,d4T_Diff,EFV_Actual,EFV_Computed,EFV_Diff,FTC_Actual,FTC_Computed,FTC_Diff,LPV/r_Actual,LPV/r_Computed,LPV/r_Diff,NVP_Actual,NVP_Computed,NVP_Diff,TDF_Actual,TDF_Computed,TDF_Diff,ATV/r_Actual,ATV/r_Computed,ATV/r_Diff,Overall_Actual,Overall_Computed,Overall_Diff
Afghanistan,A,35.67,35.65697005376054,-0.013029946239463186,3.48,3.4730982585834713,-0.006901741416528662,15.83,15.803498796902526,-0.0265012030974745,0.1,0.10269018835325237,0.002690188353252368,0.52,0.5238760960886911,0.0038760960886911056,21.36,21.38281833795707,0.022818337957069446,7.06,7.064747928013542,0.004747928013542513,4.61,4.605568231934849,-0.004431768065151331,16.43,16.408791835341216,-0.021208164658784057,23.75,23.304535048881956,-0.4454649511180442,0.41,0.4132496250463592,0.003249625046359228,129.23,128.73984440086346,-0.4901555991365285
Albania,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,A,186.17,186.1546512229944,-0.01534877700558468,3.71,3.705869879877237,-0.004130120122762815,70.8,70.77409229093699,-0.025907709063005768,0.09,0.08830774406596507,-0.0016922559340349225,0.46,0.4559573469460381,-0.004042653053961898,140.01,140.02479734714737,0.014797347147379014,49.13,49.13504080475568,0.005040804755680028,15.75,15.754115007422921,0.0041150074229214795,77.09,77.0721587368927,-0.017841263107300165,164.99,162.15126967660436,-2.8387303233956516,2.51,2.5149079410417117,0.004907941041711883,710.73,707.8311679986853,-2.8988320013147586
American Samoa,A,0.0,0.054972973439934104,0.054972973439934104,0.0,0.00021943809614466468,0.00021943809614466468,0.0,0.020444751044442117,0.020444751044442117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425289843040199,0.0425289843040199,0.0,0.015480536377269333,0.015480536377269333,0.0,0.004614072331666295,0.004614072331666295,0.0,0.02244728748884809,0.02244728748884809,0.0,0.05037561671882512,0.05037561671882512,0.0,0.0008631656926691531,0.0008631656926691531,0.0,0.21194682549381877,0.21194682549381877
Andorra,A,0.18,0.17693428975638364,-0.0030657102436163486,0.0,0.0007062765802412419,0.0007062765802412419,0.07,0.06580283508307869,-0.00419716491692132,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1368824562512362,-0.0031175437487638014,0.05,0.04982516930711057,-0.00017483069288943415,0.01,0.014850708626484934,0.004850708626484934,0.07,0.07224813613431957,0.002248136134319567,0.17,0.16213738147026116,-0.007862618529738852,0.0,0.002778158051453522,0.002778158051453522,0.69,0.6821654112605695,-0.007834588739430437
Angola,A,1085.33,1084.6418455184967,-0.6881544815032612,84.82,84.58249535675994,-0.23750464324005804,466.43,465.5902313800345,-0.8397686199655254,2.46,2.4561957811724344,-0.003804218827565542,12.55,12.553451107567575,0.003451107567574496,689.47,689.599617317358,0.1296173173579973,232.4,232.44319157773415,0.04319157773414872,128.13,127.94107235535796,-0.18892764464203537,489.16,488.56456526308307,-0.5954347369169568,780.41,765.7135071198738,-14.69649288012613,13.09,13.101599822915842,0.011599822915842495,3984.25,3967.187772600354,-17.062227399645963
Anguilla,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,B,0.83,0.8265510865338175,-0.0034489134661824794,0.0,0.0032993812312784076,0.0032993812312784076,0.31,0.3073988931699543,-0.0026011068300457185,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.6394483686438458,-0.0005516313561542141,0.23,0.23275899705041667,0.002758997050416656,0.07,0.06937529954153727,-0.0006247004584627319,0.34,0.3375082099918989,-0.0024917900081011246,0.77,0.7574271160582499,-0.012572883941750157,0.01,0.01297820540695241,0.0029782054069524104,3.2,3.186745557627951,-0.013254442372049091
Argentina,B,3783.18,3782.141603628956,-1.0383963710437456,122.26,121.95402933266763,-0.30597066733237455,1502.67,1501.509891844462,-1.1601081555381825,3.14,3.138379165594095,-0.0016208344059052138,16.2,16.20432107274856,0.004321072748560084,2719.59,2719.546474638607,-0.04352536139322183,953.98,953.9558562664536,-0.024143733546452495,350.74,350.57109577413127,-0.16890422586874365,1618.61,1617.7379933732655,-0.8720066267344464,3192.02,3134.186965015941,-57.83303498405894,50.93,50.95306882545741,0.023068825457407627,14313.3,14251.899678938287,-61.40032106171202
Armenia,A,5.91,5.907703725804819,-0.0022962741951815246,0.02,0.02400433704753714,0.004004337047537141,2.21,2.206542892829223,-0.003457107170777185,0.0,0.0,0.0,0.0,0.0,0.0,4.55,4.5539525535975915,0.003952553597591724,1.66,1.664224248056835,0.004224248056835078,0.5,0.5033961936327447,0.0033961936327446818,2.42,2.4201813286785283,0.00018132867852838075,5.51,5.405491842887772,-0.10450815711222816,0.09,0.09439789795278858,0.004397897952788582,22.88,22.779895020487835,-0.1001049795121638
