Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,"9,224.37",Afghanistan,"1,528.18",,Afghanistan,500,26,11.00%,,,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Afghanistan,EMR,"33,736,494.00","East, South and South-East Asia",A,"10,752.55","9,224.37","1,528.18",72.00,73.00,60.00,364.00,"7,280",5.00%,338,"6,780",4.99%,26.00,500.00,11%,"3,500","2,670",174.48,293.73,35.67,3.48,15.83,0.1,0.52,21.36,7.06,4.61,16.43,23.75,0.41,129.23,,Afghanistan,Belize,,First-Line Regimens,90.84%,,,TDF + 3TC + EFV,0.3240,0.7800,0.0000,0.7883,3,0.23,0.00,,,,Shire Pharmaceuticals,3TC,"726,553.57",,,,,Algeria,"11,055.12",Algeria,530.92,,Algeria,500,582,95.00%,,,92,100,92,2015,,Afghanistan,5 [3-12],364,5.00%,364.00,35.65697005376054,3.4730982585834713,15.803498796902526,0.10269018835325237,0.5238760960886911,21.38281833795707,7.064747928013542,4.605568231934849,16.408791835341216,23.304535048881956,0.4132496250463592,128.73984440086346
Albania,EUR,"2,880,703.00",Europe and Central Asia,A,98.50,96.60,1.90,92.00,92.00,97.14,423.00,,0.00%,407,,0.00%,16.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Albania,Bolivia,,Second-Line Regimens,9.17%,,,TDF + FTC + EFV,0.2240,0.7714,0.0000,0.7989,3,0.16,0.00,,,,Boehringer Ingelheim,NVP,"336,061.67",,,,,American Samoa,25.85,American Samoa,2.67,,Andorra,,,,,,92,77,92,2015,,Albania,No data,423,,423.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,AFR,"39,871,528.00",Middle East and North Africa,A,"11,586.04","11,055.12",530.92,92.00,92.00,77.00,"7,915.00","8,794",90.00%,"7,333","8,294",88.41%,582.00,500.00,95%,"37,589","2,036","33,231.81","1,934.04",186.17,3.71,70.8,0.09,0.46,140.01,49.13,15.75,77.09,164.99,2.51,710.73,,Algeria,Brazil,,,,,,AZT + 3TC + NVP,0.2010,0.8193,0.4300,0.8193,3,0.15,0.31,,,,Bristol-Myers Squibb,"ddl, d4T, ATV/r","18,943.95",,,,,Andean Latin America,"83,368.23",Andean Latin America,886.82,,Angola,"25,000","6,032",24.00%,,,100,,,2015,,Algeria,90 [70->95],7 915,90.00%,"7,915.00",186.1546512229944,3.705869879877237,70.77409229093699,0.08830774406596507,0.4559573469460381,140.02479734714737,49.13504080475568,15.754115007422921,77.0721587368927,162.15126967660436,2.5149079410417117,707.8311679986853
American Samoa,WPR,"55,537.00",,A,28.52,25.85,2.67,97.14,97.14,97.14,,,36.37%,,,36.37%,,, ,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,American Samoa,Colombia,,,,,,TDF + 3TC + NVP,0.1310,0.7500,0.0000,0.6550,3,0.09,0.00,,,,Merck,EFV,"444,912.29",,,,,Andorra,83.20,Andorra,0.17,,Antigua and Barbuda,,,,,,66,,,2015,,Andorra,High-income country,No data,,,0.054972973439934104,0.00021943809614466468,0.020444751044442117,0.0,0.0,0.0425289843040199,0.015480536377269333,0.004614072331666295,0.02244728748884809,0.05037561671882512,0.0008631656926691531,0.21194682549381877
Andorra,EUR,"78,014.00",,A,83.37,83.20,0.17,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.18,0.0,0.07,0.0,0.0,0.14,0.05,0.01,0.07,0.17,0.0,0.69,,Angola,Costa Rica,,CHILDREN,5.35%,,,AZT + 3TC + EFV,0.0850,0.7300,0.0800,0.7067,3,0.06,0.05,,,,"Gilead Sciences, Inc","FTC, TDF","642,317.02",,,,,Angola,"485,015.90",Angola,"163,935.50",,Argentina,1000,"1,597",95.00%,,,85,100,85,2015,,Angola,29 [20-40],90 204,29.00%,"90,204.00",0.17693428975638364,0.0007062765802412419,0.06580283508307869,0.0,0.0,0.1368824562512362,0.04982516930711057,0.014850708626484934,0.07224813613431957,0.16213738147026116,0.002778158051453522,0.6821654112605695
Angola,AFR,"27,859,305.00",Sub-Saharan Africa,A,"648,951.40","485,015.90","163,935.50",97.14,97.14,97.14,"90,204.00","311,048",29.00%,"84,172","286,048",29.43%,"6,032.00","25,000.00",24%,"190,000","28,000","55,909.02","6,720.00",1085.33,84.82,466.43,2.46,12.55,689.47,232.4,128.13,489.16,780.41,13.09,3984.25,,Armenia,Cuba,,First-Line Regimens,89.33%,,,Others TDF based,0.0080,0.7512,0.0000,0.5000,1,0.01,0.00,,,,Abbot Laboratories,LPV/r,"85,896.66",,,,,Antigua and Barbuda,388.67,Antigua and Barbuda,25.18,,Armenia,,24,,,,91,90,91,2015,,Antigua and Barbuda,High-income country,No data,,,1084.6418455184967,84.58249535675994,465.5902313800345,2.4561957811724344,12.553451107567575,689.599617317358,232.44319157773415,127.94107235535796,488.56456526308307,765.7135071198738,13.101599822915842,3967.187772600354
Anguilla,AMR,"14,723.00",,B,0.00,0.00,0.00,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Azerbaijan,Dominica,,Second-Line Regimens,10.68%,,,Others,0.0270,0.7512,0.0200,0.5000,,0.02,0.01,,,,GlaxoSmithKline,"ABC, AZT","385,051.56",,,,,Argentina,"73,886.85",Argentina,"4,439.63",,Australia,100,19,90.00%,,,91,100,91,2015,,Argentina,64 [58-70],70 530,64.00%,"70,530.00",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,AMR,"99,923.00",,B,413.85,388.67,25.18,97.14,97.14,97.14,,,36.37%,,,36.37%,,,,,,,,0.83,0.0,0.31,0.0,0.0,0.64,0.23,0.07,0.34,0.77,0.01,3.2,,Bangladesh,Dominican Republic,,,,,,ABC + 3TC + LPV/r,0.0000,0.6300,0.1400,0.6300,3,0.00,0.08,,,,,,,,,,,Armenia,773.96,Armenia,2.98,,Austria,,,,,,48,,48,2015,,Armenia,26 [21-35],941,26.00%,941.00,0.8265510865338175,0.0032993812312784076,0.3073988931699543,0.0,0.0,0.6394483686438458,0.23275899705041667,0.06937529954153727,0.3375082099918989,0.7574271160582499,0.01297820540695241,3.186745557627951
Argentina,AMR,"43,417,765.00",Latin America and the Caribbean,B,"78,326.48","73,886.85","4,439.63",66.00,97.14,97.14,"70,530.00","110,203",64.00%,"68,933","109,203",63.12%,"1,597.00","1,000.00",95%,"93,000","3,318","58,705.00","3,152.36",3783.18,122.26,1502.67,3.14,16.2,2719.59,953.98,350.74,1618.61,3192.02,50.93,14313.3,,Belarus,Ecuador,,,,,,ABC + 3TC + EFV,0.0000,0.6948,0.1300,0.7298,3,0.00,0.08,,,,Overall Impact for HIV drugs,,"2,639,736.71",,,,,Australasia,"5,286.51",Australasia,185.27,,Azerbaijan,100,73,83.00%,,,80,90,79,2015,,Australia,90 [82->95],24 169,90.00%,"24,169.00",3782.141603628956,121.95402933266763,1501.509891844462,3.138379165594095,16.20432107274856,2719.546474638607,953.9558562664536,350.57109577413127,1617.7379933732655,3134.186965015941,50.95306882545741,14251.899678938287
Armenia,EUR,"2,916,950.00",Europe and Central Asia,A,776.95,773.96,2.98,85.00,85.00,97.14,941.00,"3,619",26.00%,917,"3,619",25.34%,24.00,,,"3,200",197,810.78,0.00,5.91,0.02,2.21,0.0,0.0,4.55,1.66,0.5,2.42,5.51,0.09,22.88,,Benin,El Salvador,,,,,,ABC + 3TC + NVP,0.0000,0.7512,0.0700,0.5000,3,0.00,0.03,,,,,,,,,,,Australia,"4,679.18",Australia,164.20,,Bahamas,100,49,89.00%,,,82,,82,2015,,Austria,High-income country,No data,,,5.907703725804819,0.02400433704753714,2.206542892829223,0.0,0.0,4.5539525535975915,1.664224248056835,0.5033961936327447,2.4201813286785283,5.405491842887772,0.09439789795278858,22.779895020487835
